iter	Passed	Remaining
0	57	57532
1	57	28852
2	58	19292
3	58	14512
4	58	11642
5	58	9729
6	58	8361
7	59	7333
8	59	6535
9	59	5897
10	59	5375
11	60	4941
12	60	4573
13	60	4256
14	60	3983
15	60	3744
16	61	3533
17	61	3345
18	61	3176
19	61	3024
20	61	2889
21	62	2765
22	62	2651
23	62	2547
24	62	2450
25	63	2362
26	63	2280
27	63	2204
28	63	2132
29	63	2066
30	64	2003
31	64	1945
32	64	1891
33	64	1839
34	65	1793
35	65	1748
36	65	1704
37	65	1663
38	65	1624
39	66	1587
40	66	1551
41	66	1518
42	66	1486
43	66	1455
44	67	1425
45	67	1397
46	67	1370
47	67	1344
48	68	1322
49	68	1299
50	68	1277
51	68	1255
52	69	1234
53	69	1213
54	69	1193
55	69	1174
56	69	1157
57	70	1143
58	70	1127
59	70	1110
60	71	1094
61	71	1079
62	71	1063
63	71	1048
64	71	1034
65	72	1021
66	72	1007
67	72	994
68	72	982
69	73	969
70	73	957
71	73	946
72	73	935
73	73	924
74	74	913
75	74	903
76	74	893
77	74	884
78	75	874
79	75	864
80	75	855
81	75	846
82	75	836
83	75	827
84	76	818
85	76	810
86	76	802
87	76	795
88	76	787
89	77	780
90	77	773
91	77	765
92	77	758
93	77	751
94	78	744
95	78	738
96	78	731
97	78	724
98	78	718
99	79	712
100	79	706
101	79	700
102	79	694
103	79	688
104	80	683
105	80	677
106	80	672
107	80	667
108	81	662
109	81	657
110	81	652
111	81	647
112	81	642
113	82	637
114	82	632
115	82	628
116	82	623
117	82	618
118	82	614
119	83	610
120	83	605
121	83	601
122	83	597
123	83	592
124	84	588
125	84	585
126	84	580
127	84	576
128	84	573
129	85	569
130	85	565
131	85	562
132	85	558
133	85	555
134	86	551
135	86	548
136	86	545
137	86	542
138	86	538
139	87	535
140	87	532
141	87	528
142	87	525
143	87	522
144	88	519
145	88	516
146	88	513
147	88	510
148	88	508
149	89	505
150	89	502
151	89	499
152	89	497
153	90	494
154	90	492
155	90	489
156	90	486
157	90	484
158	91	481
159	91	479
160	91	476
161	91	474
162	91	471
163	92	469
164	92	467
165	92	464
166	92	462
167	92	460
168	93	458
169	93	456
170	93	454
171	93	451
172	94	449
173	94	447
174	94	445
175	94	443
176	94	441
177	95	439
178	95	437
179	95	435
180	95	433
181	96	431
182	96	429
183	96	427
184	96	425
185	96	423
186	97	421
187	97	420
188	97	418
189	97	416
190	97	414
191	98	413
192	98	411
193	98	409
194	98	407
195	98	405
196	99	404
197	99	402
198	99	400
199	99	399
200	100	397
201	100	395
202	100	394
203	100	392
204	100	391
205	101	389
206	101	387
207	101	386
208	101	384
209	101	383
210	102	381
211	102	380
212	102	378
213	102	377
214	102	375
215	103	374
216	103	372
217	103	371
218	103	369
219	103	368
220	104	367
221	104	365
222	104	364
223	104	362
224	104	361
225	105	360
226	105	358
227	105	357
228	105	356
229	106	355
230	106	353
231	106	352
232	106	351
233	106	349
234	107	348
235	107	347
236	107	345
237	107	344
238	107	343
239	108	342
240	108	341
241	108	339
242	108	338
243	108	337
244	109	336
245	109	335
246	109	335
247	110	334
248	110	332
249	110	331
250	110	330
251	110	329
252	111	328
253	111	327
254	111	325
255	111	324
256	112	323
257	112	322
258	112	321
259	112	320
260	112	319
261	113	318
262	113	317
263	113	316
264	113	315
265	113	314
266	114	313
267	114	312
268	114	311
269	114	310
270	114	309
271	115	308
272	115	307
273	115	306
274	115	305
275	115	304
276	116	303
277	116	302
278	116	301
279	116	300
280	117	299
281	117	298
282	117	297
283	117	296
284	117	295
285	118	294
286	118	293
287	118	292
288	118	291
289	118	290
290	119	290
291	119	289
292	119	288
293	119	287
294	119	286
295	120	285
296	120	284
297	120	283
298	120	283
299	120	282
300	121	281
301	121	280
302	121	279
303	121	278
304	122	278
305	122	277
306	122	276
307	122	275
308	122	274
309	123	273
310	123	273
311	123	272
312	123	271
313	123	270
314	124	269
315	124	268
316	124	268
317	124	267
318	124	266
319	125	265
320	125	265
321	125	264
322	125	263
323	126	263
324	126	262
325	126	261
326	126	261
327	127	260
328	127	259
329	127	259
330	127	258
331	128	257
332	128	257
333	128	256
334	128	255
335	128	254
336	129	254
337	129	253
338	129	252
339	129	252
340	130	251
